,name,description
246,"Silex Technology America, Inc.","Silex Technology provides “Absolutely Must Connect” wireless network solutions for medical and industrial customers. Backed by decades of Wi-Fi connectivity experience, Silex is a global leader in reliable and secure wireless connectivity solutions."
247,Silicon Highway,"Silicon Highway is a European-centric distribution company specializing in embedded technologies, offering an online platform to connect, and cultivate significant business prospects in the ever-evolving landscape of AI embedded solutions."
248,SimpleRose,"SimpleRose offers Business Optimization as a Service, enabling you to achieve significant reduction in costs across various your business. We deliver precise, data-driven answers to support the decisions that are most important to your business."
249,Sky Engine AI,SKY ENGINE AI is a Synthetic Data Cloud – generative simulation and deep learning platform that produces fully annotated synthetic data and trains AI computer vision algorithms in parallel at scale.
250,"Slalom, Inc.","Slalom is a purpose-led, business and technology consulting company. Backed by close partnerships with over 400 leading technology providers, our team helps people and organizations dream bigger, move faster, and build better tomorrows for all."
251,SliceX AI,"SliceX AI’s mission is to power AI (LLMs & beyond) for everyone, everywhere. Our vision is to enable every business and person in the world with their own personalized, hyper-efficient & privacy-preserving AI on the Cloud & Edge."
252,SmartCow AI,"SmartCow pioneers Software-Defined Hardware (SDH), enhancing hardware flexibility for low-latency, time-sensitive tasks. Our expert team excels in optimized software, aiming to innovate and make a positive global impact."
253,SOLART Technology,"A global institution, merges AI and cutting-edge technology with art. We aim to revolutionize the intersection of art and technology, providing immersive, interactive entertainment and empowering users with AI tools for innovative art creation."
254,Source Code,SourceCode fills the industry gap for a new class of technology partner focused on co-design and engineering-led custom solutions for an intelligent infrastructure from device to datacenter.
255,Spartan Radar,"Spartan is an automated mobility sensor software provider. Our software package, “Clarify,” is designed to increase the performance of existing radar systems in a computationally efficient manner for automotive and commercial vehicle applications."
256,SQream,SQream is a data analytics company that helps organizations get accurate insights at a low cost. SQream is a unique technology that empowers businesses to analyze exponentially more data & get substantially faster insights at dramatic cost-savings.
257,Starfish Storage,"Starfish adds structure to unstructured data.  We index file systems and object stores, and associate metadata with files, objects, and directories.  Metadata is used for search, classification, automation, analysis, and reporting."
258,Stelia,Stelia connects AI builders to an ultra-low latency disaggregated network bypassing legacy telecoms limits. 1000 partners and 220 data centers leverage our software-defined PB scale backbone. Join now - accelerate your innovation to the speed of AI.
259,ST Engineering,"ST Engineering is a global technology, defence and engineering group with businesses across the aerospace, smart city, defence and public security segment. Headquartered in Singapore, it has operations in more than 100 countries worldwide."
260,Stereolabs,Stereolabs is the leading provider of depth and motion sensing solutions based on AI vision. Stereolabs empowers machines with the ability to see and understand. We enable developers across multiple industries to create truly intelligent machines.
261,SuperAnnotate,"SuperAnnotate is the leading platform for building, fine-tuning, iterating, and managing your Gen AI and Large Language Models faster with the highest-quality training data."
262,Symbl.ai,Symbl.ai provides purpose-built AI models to transform unstructured conversation data into insights. Symbl.ai offers Nebula LLM and Embeddings to build streaming use cases such as co-pilot & real-time assist with low latency.
263,Synthesia,"Synthesia is the #1 AI video generation platform that allows you to create studio-quality videos with AI avatars by simply typing in text. More than 50,000 companies already use it to scale their training, corporate, and marketing video production. Create your own video now! https://www.synthesia.io/free-ai-video-demo#OptimizedForSharing_New"
264,Syntiant,"Syntiant's production-ready, high-performance, low-power Neural Decision Processors and hardware-agnostic deep learning models bring advanced speech, vision and sensing edge AI to all kinds of consumer and industrial use cases, from earbuds to EVs."
265,Tabnine,"Tabnine is an enterprise-grade AI assistant designed for engineers, with a focus on safeguarding the privacy and security of your code. Boasting a user base of over one million developers, Tabnine is at the forefront of AI-driven software development."
266,TD Synnex,"TD SYNNEX is a global IT distributor and solutions aggregator based in Clearwater, FL, and Fremont, CA. With top-tier products from 1,500+ technology vendors that specialize in AI, cloud, cybersecurity, big data, IoT, mobility, and more."
267,Telit Cinterion,"As the largest western provider pioneering IoT innovation, Telit Cinterion delivers award-winning and highly secure IoT solutions, modules and services."
268,Timesys,"Timesys, a Lynx Software Technologies company, builds, secures, and maintains open source embedded software platforms. We offer end-to-end device security, development, testing, and maintenance throughout the entire product lifecycle."
269,Together AI,"A research-driven artificial intelligence company contributing to leading open-source research, models, and datasets. Our decentralized cloud services empower developers and researchers to train, fine-tune, and deploy generative AI models."
270,Trifork,"Move your business forward by making technology smart, responsible & uncomplicated. Our solutions liberate change and empower you to make the lives of your end-users simple. We don’t just build powerful technology; we transform it into business value"
271,Twelve Labs,"We train large video-language models & makes them available to developers and enterprises through APIs. Using a video-first approach where model architecture, training data, and machine-learning systems are optimized to process & understand video."
272,UbiOps,"UbiOps is an easy-to-use deployment and serving layer for your data science, AI & ML code. It turns your Python & R models and scripts into live web services, allowing you to use them from anywhere at any time."
273,Union.ai,"Union.ai enables data and AI experts to easily manage, automate, and scale their workflows. The Union Cloud platform helps users streamline their workflows, accelerate time to insights, and drive business value from data."
274,Unstructured,"Unstructured transforms organizations' complex, unstructured data like PDFs, PPTX, HTML files and more into formats compatible with LLMs so employees can chat with their internal data."
275,Upstage,Upstage provides LLM that anyone can easily apply. We provide an environment where customers can focus more on their core business by solving the difficulties they face in the process of applying AI technology.
276,Varjo,"Varjo makes revolutionary VR/XR hardware and software that together take you to another level of performance and emotional immersion – recreating the exact feeling and conditions of real life, allowing you to perform better and learn faster."
277,Vecow,"Vecow is committed to designing, developing, producing, and supplying AIoT solution services with trusted reliability, advanced technology, and innovative concepts for mobile robots, traffic vision, public security, and any Edge AI applications."
278,Volinga,"Volinga is a spin out of ARQUIMEA that offers neural volumetric image capture system based on Radiance Fields technology, which allows virtual production, VFX, TV, and entertainment studios to create hyper-realistic 3D environments in minutes."
279,Volvo Cars,"Volvo Cars aims to provide customers with the Freedom to Move in a personal, sustainable and safe way. This is reflected in its ambition to become a fully electric car maker by 2030 while achieving climate-neutrality by 2040."
280,Voxel51,"Voxel51 is the company behind FiftyOne, the open source platform AI teams use to build high quality datasets and cutting-edge models. FiftyOne helps you visualize, augment, manage, and QA data, streamline ML workflows, and get to production faster."
281,VVDN Technologies Inc.,"VVDN Technologies is a global provider of software, product engineering, electronics manufacturing services helping global businesses build forward-looking solutions beyond boundaries. Create. Innovate. Produce #WeMakeItHapen"
282,WeRide,"WeRide is a leading, commercial-stage global company that develops Level 4 autonomous driving technologies. It offers an all-rounded product mix of Robotaxi, Robobus, Robovan, Robosweeper and Advanced Driving Solution to provide services."
283,Wind River,"Wind River is a global leader of software solutions for the intelligent edge. Its technology portfolio powers billions of mission-critical devices in all industries demanding the highest levels of security, safety, and reliability."
284,Wistron Corporation,"Wistron Corporation is a Fortune Global 500 company and a Technology Service Provider to global customers. Wistron’s extensive technology services include 5G, AI, Metaverse related applications, Electric and Autonomous Vehicles, and Industry 4.0."
285,Wiwynn,"Wiwynn is an innovative cloud IT infrastructure provider of high-quality computing and storage products, plus rack solutions for leading data centers. We aggressively invest in next generation technologies for workload and TCO optimization."
286,WOLF Advanced Technology,"WOLF designs and manufactures rugged high-performance compute, AI, and video I/O boards and modules. WOLF VPX, XMC and custom solutions operate in harsh aerospace and defense environments using advanced NVIDIA GPUs, APUs, SmartNICs and Xilinx FPGAs."
287,Writer,"Writer is the full-stack generative AI platform for enterprises. We empower your entire organization to accelerate growth, increase productivity, and ensure compliance."
288,Xctuality Pte Ltd,Xctuality is a Singapore-based immersive technology company building towards spatial computing that is helping to reverse climate change by pioneering the future of urban lifestyle.
289,Xiilab,"Xiilab is a specialist of AI video analysis, with its technology to process and utilize large-volume video data.
Its main business areas are: cloud based video analysis service('Vidigo'), GPU orchestration solution('astrago'), and 3D synthetic data generation solution('X-GEN')."
290,Yuan,"As a global video/audio product provider, YUAN High-Tech has always been persistent about continuous innovation whilst being open-minded to supply the global community."
291,Zetaris,"Zetaris empowers real-time data discovery, readiness, and consumption for both AI and humans. The Zetaris AI-Powered Lakehouse streamlines data product development, simplifying data discovery, semantic harmonization, and preparation."
292,DailyAI,"From decoding complexities to presenting AI in an accessible and relatable manner, Daily AI delivers the latest AI news in real-time. Engage with their weekly newsletter, prompt guides, and stories, and join DailyAI as we navigate the evolving landscape of AI together."
293,Game Developers Network,"Game Developers Network (GDN)is a dynamic central hub that is accessible 24/7, every day of the year enabling industry professionals to collaborate, communicate, access resources, recruit, exchange knowledge, and promote business ventures."
294,Tryolabs,"Tryolabs is a team of advisors, strategists, and engineers focused on making an impact with AI-powered solutions."
295,United.ai,"Unite.ai is a completely decentralized organization with a team that currently offers news, interviews, and access to the best AI tools. Their goals are to inform the wider public about progress on AI, to unify the AI community, to push forward the democratization of AI, to follow their charter on responsible AI, and to assist in the development of beneficial AGI (artificial general intelligence)."
296,TSMC,"TSMC created the semiconductor Dedicated IC Foundry business model when it was founded in 1987.  In 2023, TSMC served 528 customers and manufactured 11,895 products for various applications covering a variety of end markets including high performance computing, smartphones, the Internet of Things (IoT), automotive, and digital consumer electronics. Annual capacity of the manufacturing facilities managed by TSMC and its subsidiaries exceeded 16 million 12-inch equivalent wafers in 2023."
